HOG	primary_category	vizueta_like_group	confidence	chc_specificity	rationale
N0.HOG0000058	Neural, endocrine and behavioural signalling	Endocrine signalling candidate	Moderate	Isoprenoid related, not CHC specific	Farnesol dehydrogenase catalyses a late step in insect juvenile-hormone biosynthesis, making this an endocrine-metabolism candidate; exact orthology and corpora-allata expression remain unverified in these wasps.
N0.HOG0000103	Gene regulation, chromatin and development	Other	High	Not applicable	Histone H2B-like chromatin protein family.
N0.HOG0000299	Digestion and nutrient metabolism	Digestion	Moderate	Not applicable	Glutamyl aminopeptidase/aminopeptidase A can mediate peptide hydrolysis, although a specifically digestive tissue role is not established.
N0.HOG0000470	Core metabolism, bioenergetics and transport	Other	High	Not applicable	Carbonic anhydrase family involved in acid-base and ion physiology.
N0.HOG0000518	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	Only a DM4/DM12 domain-family annotation is available; this does not establish a specific biological process.
N0.HOG0000592	Gene regulation, chromatin and development	Other	High	Not applicable	ESCO1/2-like acetyltransferase involved in sister-chromatid cohesion and cell-cycle regulation.
N0.HOG0000639	Lipid metabolism and potential CHC production	CHC/lipid metabolism	Moderate	Plausible upstream CHC pathway component	Fatty acid synthase supplies long-chain fatty-acid precursors used in many lipid pathways, including CHC biosynthesis, but is not CHC specific.
N0.HOG0000101	Detoxification, defence and venom	CHC/lipid metabolism candidate	Low	P450 subfamily unresolved	Mixed CYP4-like HOG dominated by CYP4C/CYP4p annotations with only some CYP4G-like members; the whole HOG cannot be assigned to CHC biosynthesis.
N0.HOG0000032	Transposable elements	Other	High	Not applicable	Reverse-transcriptase/transposable-element family; expansion may partly reflect repeat or gene-model behaviour.
N0.HOG0000158	Chemoperception	Chemoperception	High	Not applicable	Odorant receptor family.
N0.HOG0000028	Chemoperception	Chemoperception	High	Not applicable	Odorant receptor family.
N0.HOG0000108	Neural, endocrine and behavioural signalling	Other	Moderate	Not applicable	Predominantly conventional ionotropic glutamate-receptor annotations; a chemosensory IR role is not demonstrated for this broad HOG.
N0.HOG0000858	Gene regulation, chromatin and development	Other	High	Not applicable	Geminin-like DNA-replication inhibitor and cell-cycle regulator.
N0.HOG0000865	Gene regulation, chromatin and development	Other	Low	Not applicable	Conflicting slit-like and AF4/FMR2-like annotations imply developmental or transcriptional roles but do not support a precise function.
N0.HOG0000881	Core metabolism, bioenergetics and transport	Other	High	Not applicable	AP-1 mu subunit involved in vesicle trafficking.
N0.HOG0000894	Neural, endocrine and behavioural signalling	Endocrine signalling	High	Not applicable	E74 is a direct ecdysone-response transcription factor involved in metamorphic developmental regulation.
N0.HOG0000895	Gene regulation, chromatin and development	Other	Moderate	Not applicable	Zinc-finger protein family, most plausibly transcriptional regulation; specific targets are unknown.
N0.HOG0000901	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	DUF4818-only annotation.
N0.HOG0000947	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	DUF4708-only annotation.
N0.HOG0000957	Gene regulation, chromatin and development	Other	High	Not applicable	Bric-a-brac transcription-factor family involved in developmental patterning.
N0.HOG0001360	Core metabolism, bioenergetics and transport	Other	Moderate	Not applicable	Golgin-like protein, consistent with Golgi organisation and membrane trafficking.
N0.HOG0001062	Gene regulation, chromatin and development	Other	High	Not applicable	RAD21/REC8-like cohesin component involved in chromosome cohesion.
N0.HOG0001142	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	No informative annotation available.
N0.HOG0001238	Gene regulation, chromatin and development	Other	Low	Not applicable	MYND-finger/PKC-binding annotation suggests regulatory interactions but no specific pathway can be assigned.
N0.HOG0001313	Protein synthesis and RNA/protein processing	Other	High	Not applicable	DDX43/DDX53-like ATP-dependent RNA helicase family.
N0.HOG0000841	Cytoskeleton, cilia and adhesion	Other	Moderate	Not applicable	Ropporin/sperm-capacitation protein family associated with flagellar or cytoskeletal function.
N0.HOG0001531	Protein synthesis and RNA/protein processing	Other	High	Not applicable	Ribosomal protein family.
N0.HOG0001978	Core metabolism, bioenergetics and transport	Other	High	Not applicable	Mitochondrial complex-I 49-kDa/NADH dehydrogenase subunit family.
N0.HOG0001035	Cytoskeleton, cilia and adhesion	Other	Moderate	Not applicable	Tectonic/B9-domain family associated with ciliary organisation and developmental signalling.
N0.HOG0000815	Protein synthesis and RNA/protein processing	Other	High	Not applicable	Ribosomal protein family.
N0.HOG0001071	Protein synthesis and RNA/protein processing	Other	High	Not applicable	Ribosomal protein family.
N0.HOG0000770	Gene regulation, chromatin and development	Other	Moderate	Not applicable	F-box protein family, consistent with regulated protein turnover.
N0.HOG0000814	Lipid metabolism and potential CHC production	CHC/lipid metabolism candidate	Low	Lipid related, not CHC specific	SDR16C6/17-beta-hydroxysteroid-dehydrogenase-like proteins act in lipid or retinoid/steroid metabolism. Vizueta et al. treated a related SDR16C family as CHC associated, but a direct CHC role is not established here.
N0.HOG0000066	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	Tubulin family.
N0.HOG0000351	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	DUF4746-only annotation.
N0.HOG0000382	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	Tubulin family.
N0.HOG0000465	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	Only a DM4/DM12 domain-family annotation is available.
N0.HOG0000496	Lipid metabolism and potential CHC production	CHC/lipid metabolism candidate	Moderate	Lipid related, not CHC specific	Apolipoprotein D/lipocalin-like family likely involved in hydrophobic-ligand or lipid transport, not CHC synthesis specifically.
N0.HOG0000504	Digestion and nutrient metabolism	Digestion/nutrient metabolism	Moderate	Not applicable	Antizyme-inhibitor/ornithine-decarboxylase-like family points to polyamine and amino-acid metabolism rather than a digestive enzyme per se.
N0.HOG0000589	Chemoperception	Chemoperception	High	Not applicable	Gustatory receptor family.
N0.HOG0000550	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	Muscle-specific protein 300 kDa family, a large cytoskeletal scaffold.
N0.HOG0000643	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	Only a DM4/DM12 domain-family annotation is available.
N0.HOG0000658	Detoxification, defence and venom	Venom candidate	Moderate	Not applicable	Venom-metalloproteinase-like/sol narae annotation supports extracellular proteolysis and a plausible venom function, but direct venom-gland expression has not been demonstrated for these members.
N0.HOG0000666	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	Axonemal microtubule-stabilizer family.
